"title","vote_average","release_date","revenue","budget","original_language","overview","genres"
"Jobs",6.13,"2013-08-16",42100000,12000000,"en","The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.","Drama, History"
"The Butler",7.345,"2013-08-16",115900000,25000000,"en","A look at the life of Cecil Gaines who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made.","Drama"
"You're Next",6.593,"2013-08-22",14347000,1000000,"en","When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back.","Horror, Thriller, Mystery"
"All Is Lost",6.637,"2013-08-23",6108720,9000000,"en","During a solo voyage in the Indian Ocean, a veteran mariner awakes to find his vessel taking on water after a collision with a stray shipping container. With his radio and navigation equipment disabled, he sails unknowingly into a violent storm and barely escapes with his life. With any luck, the ocean currents may carry him into a shipping lane -- but, with supplies dwindling and the sharks circling, the sailor is forced to face his own mortality.","Action, Adventure, Drama"
"Madras Cafe",6.556,"2013-08-23",6500000,5400000,"hi","An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.","Thriller, Drama, Action"
"Short Term 12",7.769,"2013-08-23",1645164,1000000,"en","Grace, a compassionate young supervisor at a foster care facility, helps at-risk teens. But when a new charge dredges up memories of her own troubled past, Grace's tough exterior begins eroding.","Drama"
"Getaway",5.039,"2013-08-29",10501938,18000000,"en","Former race car driver Brent Magna is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner on a high-speed race against time, at the command of the mysterious villain holding his wife hostage.","Action, Crime"
"Wolf Creek 2",6.418,"2013-08-30",9630444,8000000,"en","Lured by the promise of an Australian holiday, backpackers Rutger, Katarina and Paul visit the notorious Wolf Creek Crater.  Their dream Outback adventure soon becomes a horrific reality when they encounter the site's most infamous local, the last man any traveller to the region ever wants to meet—Mick Taylor.  As the backpackers flee, Mick pursues them on an epic white knuckled rampage across hostile wasteland.","Horror, Thriller"
"Alone Yet Not Alone",5.3,"2013-09-01",887851,7000000,"en","Fleeing religious persecution in Germany, a family seeks a new start in uncharted country - America. It is the mid-1700s and British and French forces are struggling for control over the abundant resources of this new territory. Carving out a homestead can be arduous work, but the family labors joyfully. Then the unthinkable: In a terrifying raid, Delaware warriors kidnap the two young daughters and attempt to indoctrinate them into native culture. Through their ordeal they never lose hope and """"their faith becomes their freedom.","History, Action, Drama"
"Riddick",6.301,"2013-09-02",98337295,38000000,"en","Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from throughout the galaxy descend on Riddick only to find themselves pawns in his greater scheme for revenge. With his enemies right where he wants them, Riddick unleashes a vicious attack of vengeance before returning to his home planet of Furya to save it from destruction.","Science Fiction, Action, Thriller"
"Rush",7.716,"2013-09-02",90200000,38000000,"en","In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.","Drama, Action"
"About Time",7.916,"2013-09-04",87100449,12000000,"en","The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.","Drama, Romance, Fantasy"
"Bad Words",6.365,"2013-09-06",7800000,9500000,"en","Forty-year-old misanthrope, Guy Trilby (Jason Bateman), enters the National Golden Quill Spelling Bee through a loophole in the rules.","Comedy"
"Salinger",6.365,"2013-09-06",650675,2000000,"en","An in-depth investigation into the private world of the American writer J. D. Salinger (1919-2010), who lived most of his life behind the impenetrable wall of a self-imposed seclusion: how his dramatic experiences during World War II influenced his life and work, his relationships with very young women, his obsessive writing methods, his many literary secrets.","Documentary"
"Begin Again",7.244,"2013-09-07",63500000,8000000,"en","Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.","Comedy, Music, Romance, Drama"
"Oculus",6.435,"2013-09-08",44459951,5000000,"en","A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.","Horror"
"The Green Inferno",5.699,"2013-09-08",12666449,5000000,"en","A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not alone… and that no good deed goes unpunished.","Horror, Thriller, Adventure"
"Third Person",5.882,"2013-09-09",1749201,28000000,"en","An acclaimed novelist struggles to write an analysis of love in one of three stories, each set in a different city, that detail the beginning, middle and end of a relationship.","Drama, Romance"
"Insidious: Chapter 2",6.671,"2013-09-12",161000000,5000000,"en","The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.","Horror, Thriller"
"Machete Kills",5.607,"2013-09-12",15000000,12000000,"en","Ex-Federale agent Machete is recruited by the President of the United States for a mission which would be impossible for any mortal man – he must take down a madman revolutionary and an eccentric billionaire arms dealer who has hatched a plan to spread war and anarchy across the planet.","Action, Crime, Thriller"
"Grand Masti",4.729,"2013-09-13",19000000,4900000,"hi","Meet, Prem, and Amar look to have a blast at their college reunion, though they soon find themselves in another predicament.","Comedy, Romance"
"Diana",5.584,"2013-09-19",21766271,15000000,"en","During the last two years of her life, Princess Diana campaigns against the use of land mines and has a secret love affair with a Pakistani heart surgeon.","Drama, Romance"
"Prisoners",8.093,"2013-09-19",122126687,46000000,"en","Keller Dover is facing a parent’s worst nightmare: his young daughter and her friend have gone missing. Heading the investigation, Detective Loki arrests the only suspect – the driver of an RV on which the girls had been playing – but a lack of evidence forces his release. As pressure mounts, Loki’s team pursues multiple leads while a frantic Dover decides he has no choice but to take matters into his own hands.","Drama, Thriller, Crime"
"The Lunchbox",7.323,"2013-09-20",17240000,3400000,"hi","A mistaken delivery in Mumbai's famously efficient lunchbox delivery system (Mumbai's Dabbawallahs) connects a young housewife to a stranger in the dusk of his life. They build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.","Drama, Romance"
"The Zero Theorem",6.098,"2013-09-20",770706,8500000,"en","A computer hacker's goal to discover the reason for human existence continually finds his work interrupted thanks to the Management; this time, they send a teenager and lusty love interest to distract him.","Drama, Fantasy, Science Fiction"
